id,lang,accept_length
0,en,1.5666666666666667
1,en,1.5238095238095237
2,en,1.5421686746987953
3,en,1.4222222222222223
4,en,1.4065934065934067
5,en,1.3595505617977528
6,en,1.3473684210526315
7,en,1.5421686746987953
8,en,1.3924050632911393
9,en,1.641025641025641
10,en,1.471264367816092
11,en,1.5421686746987953
12,en,1.3763440860215055
13,en,1.5421686746987953
14,en,1.4382022471910112
15,en,1.5421686746987953
16,en,1.4382022471910112
17,en,1.4545454545454546
18,en,1.3763440860215055
19,en,1.5238095238095237
20,en,1.3763440860215055
21,en,1.6
22,en,1.4883720930232558
23,en,1.3473684210526315
24,en,1.5609756097560976
25,en,1.607843137254902
26,en,1.3888888888888888
27,en,1.4222222222222223
28,en,1.2075471698113207
29,en,1.5434782608695652
30,en,1.4065934065934067
31,en,1.5238095238095237
32,en,1.4615384615384615
33,en,1.5609756097560976
34,en,1.7777777777777777
35,en,1.4883720930232558
36,en,1.5238095238095237
37,en,1.3333333333333333
38,en,1.2673267326732673
39,en,1.4313725490196079
40,en,1.4065934065934067
41,en,1.3763440860215055
42,en,1.4545454545454546
43,en,1.4382022471910112
44,en,1.5421686746987953
45,en,1.4382022471910112
46,en,1.6
47,en,1.6551724137931034
48,en,1.5421686746987953
49,en,1.471264367816092
0,hi,2.245614035087719
1,hi,1.7534246575342465
2,hi,2.098360655737705
3,hi,2.1333333333333333
4,hi,2.0
5,hi,2.0
6,hi,2.098360655737705
7,hi,1.8823529411764706
8,hi,1.8028169014084507
9,hi,2.098360655737705
10,hi,2.4150943396226414
11,hi,2.1333333333333333
12,hi,1.8285714285714285
13,hi,1.855072463768116
14,hi,2.206896551724138
15,hi,2.0317460317460316
16,hi,2.169491525423729
17,hi,1.9692307692307693
18,hi,1.855072463768116
19,hi,2.245614035087719
20,hi,1.7297297297297298
21,hi,1.8823529411764706
22,hi,1.620253164556962
23,hi,2.3703703703703702
24,hi,1.8823529411764706
25,hi,2.169491525423729
26,hi,2.245614035087719
27,hi,2.2857142857142856
28,hi,2.327272727272727
29,hi,2.169491525423729
30,hi,2.206896551724138
31,hi,2.6122448979591835
32,hi,1.855072463768116
33,hi,2.064516129032258
34,hi,2.4615384615384617
35,hi,1.855072463768116
36,hi,2.4615384615384617
37,hi,1.8028169014084507
38,hi,1.7777777777777777
39,hi,1.9104477611940298
40,hi,2.169491525423729
41,hi,1.7777777777777777
42,hi,1.8823529411764706
43,hi,2.245614035087719
44,hi,2.098360655737705
45,hi,2.245614035087719
46,hi,2.169491525423729
47,hi,1.8285714285714285
48,hi,2.098360655737705
49,hi,2.064516129032258
0,gu,2.4150943396226414
1,gu,2.6122448979591835
2,gu,2.6666666666666665
3,gu,2.098360655737705
4,gu,2.56
5,gu,2.169491525423729
6,gu,2.6122448979591835
7,gu,2.245614035087719
8,gu,2.064516129032258
9,gu,2.56
10,gu,2.4615384615384617
11,gu,2.169491525423729
12,gu,2.2857142857142856
13,gu,2.56
14,gu,2.2857142857142856
15,gu,2.064516129032258
16,gu,2.169491525423729
17,gu,2.4150943396226414
18,gu,2.064516129032258
19,gu,2.5098039215686274
20,gu,2.327272727272727
21,gu,2.56
22,gu,2.2857142857142856
23,gu,2.327272727272727
24,gu,2.4615384615384617
25,gu,2.5098039215686274
26,gu,2.5098039215686274
27,gu,2.4615384615384617
28,gu,2.4615384615384617
29,gu,2.5098039215686274
30,gu,2.9767441860465116
31,gu,2.6666666666666665
32,gu,2.56
33,gu,2.4150943396226414
34,gu,2.9767441860465116
35,gu,2.4615384615384617
36,gu,2.723404255319149
37,gu,2.4150943396226414
38,gu,2.245614035087719
39,gu,2.2857142857142856
40,gu,2.6122448979591835
41,gu,2.245614035087719
42,gu,2.169491525423729
43,gu,2.4615384615384617
44,gu,2.5098039215686274
45,gu,2.169491525423729
46,gu,2.56
47,gu,2.723404255319149
48,gu,2.6666666666666665
49,gu,2.6122448979591835
