id,lang,accept_length
0,en,2.3703703703703702
1,en,2.5098039215686274
2,en,2.56
3,en,2.206896551724138
4,en,2.4150943396226414
5,en,2.5098039215686274
6,en,2.56
7,en,2.75
8,en,2.56
9,en,2.1333333333333333
10,en,2.0317460317460316
11,en,4.111111111111111
12,en,2.2857142857142856
13,en,2.206896551724138
14,en,2.744186046511628
15,en,2.5714285714285716
16,en,2.327272727272727
17,en,2.4782608695652173
18,en,2.206896551724138
19,en,1.8780487804878048
20,en,2.2857142857142856
21,en,2.4615384615384617
22,en,2.75
23,en,1.5058823529411764
24,en,2.2903225806451615
25,en,2.3703703703703702
26,en,2.4615384615384617
27,en,2.56
28,en,2.5098039215686274
29,en,2.4150943396226414
30,en,2.098360655737705
31,en,2.56
32,en,2.5098039215686274
33,en,1.95
34,en,2.4615384615384617
35,en,2.0317460317460316
36,en,2.9444444444444446
37,en,2.327272727272727
38,en,2.3076923076923075
39,en,3.0
40,en,2.9767441860465116
41,en,2.6666666666666665
42,en,2.4615384615384617
43,en,2.8444444444444446
44,en,2.5098039215686274
45,en,2.5098039215686274
46,en,2.8444444444444446
47,en,3.5
48,en,2.327272727272727
49,en,2.3703703703703702
0,hi,1.3473684210526315
1,hi,1.3473684210526315
2,hi,1.3333333333333333
3,hi,1.2190476190476192
4,hi,1.1962616822429906
5,hi,1.6304347826086956
6,hi,1.3763440860215055
7,hi,1.3061224489795917
8,hi,1.5609756097560976
9,hi,2.327272727272727
10,hi,1.4065934065934067
11,hi,1.3763440860215055
12,hi,1.4545454545454546
13,hi,1.3617021276595744
14,hi,1.4065934065934067
15,hi,1.5802469135802468
16,hi,1.3617021276595744
17,hi,1.3473684210526315
18,hi,1.3473684210526315
19,hi,1.4545454545454546
20,hi,1.5058823529411764
21,hi,1.5802469135802468
22,hi,2.4615384615384617
23,hi,1.292929292929293
24,hi,1.3209876543209877
25,hi,1.3333333333333333
26,hi,1.3763440860215055
27,hi,1.471264367816092
28,hi,1.3763440860215055
29,hi,1.3195876288659794
30,hi,1.3617021276595744
31,hi,1.2673267326732673
32,hi,1.3763440860215055
33,hi,1.3061224489795917
34,hi,1.3195876288659794
35,hi,1.292929292929293
36,hi,1.4545454545454546
37,hi,1.4883720930232558
38,hi,1.3473684210526315
39,hi,1.28
40,hi,1.2839506172839505
41,hi,1.2673267326732673
42,hi,1.3061224489795917
43,hi,1.3195876288659794
44,hi,1.3617021276595744
45,hi,1.3448275862068966
46,hi,1.3333333333333333
47,hi,1.2075471698113207
48,hi,1.2075471698113207
49,hi,1.28
0,gu,1.0491803278688525
1,gu,1.0158730158730158
2,gu,1.0940170940170941
3,gu,1.024
4,gu,1.1130434782608696
5,gu,1.0666666666666667
6,gu,1.1428571428571428
7,gu,1.0578512396694215
8,gu,1.103448275862069
9,gu,1.024
10,gu,1.0158730158730158
11,gu,1.0491803278688525
12,gu,1.024
13,gu,1.0578512396694215
14,gu,1.0666666666666667
15,gu,1.0578512396694215
16,gu,1.0940170940170941
17,gu,1.0406504065040652
18,gu,1.0406504065040652
19,gu,1.032258064516129
20,gu,1.032258064516129
21,gu,1.0666666666666667
22,gu,1.024
23,gu,1.1130434782608696
24,gu,1.0491803278688525
25,gu,1.0940170940170941
26,gu,1.0756302521008403
27,gu,1.0847457627118644
28,gu,1.024
29,gu,1.0847457627118644
30,gu,1.0406504065040652
31,gu,1.0666666666666667
32,gu,1.0847457627118644
33,gu,1.0578512396694215
34,gu,1.0491803278688525
35,gu,1.0940170940170941
36,gu,1.0578512396694215
37,gu,1.0578512396694215
38,gu,1.0491803278688525
39,gu,1.0491803278688525
40,gu,1.0406504065040652
41,gu,1.0756302521008403
42,gu,1.024
43,gu,1.0491803278688525
44,gu,1.024
45,gu,1.0578512396694215
46,gu,1.1531531531531531
47,gu,1.0491803278688525
48,gu,1.032258064516129
49,gu,2.2666666666666666
