lang,n,mean_tokens,median_tokens,inflation_vs_en,mean_per_sample_ratio,tau_drop
en,1012,27.293478260869566,26.0,1.0,1.0,
hi,1012,120.51086956521739,116.0,4.41537236160892,4.489596383716289,
gu,1012,183.91205533596838,175.0,6.738315050143007,6.856524199536236,
