id,lang,accept_length
0,en,1.3473684210526315
1,en,1.75
2,en,1.63013698630137
3,en,1.6
4,en,1.391304347826087
5,en,1.3333333333333333
6,en,1.5058823529411764
7,en,1.3061224489795917
8,en,1.435483870967742
9,en,1.391304347826087
10,en,1.6
11,en,1.3617021276595744
12,en,1.4545454545454546
13,en,1.5058823529411764
14,en,1.620253164556962
15,en,1.3333333333333333
16,en,1.4545454545454546
17,en,1.5058823529411764
18,en,1.3272727272727274
19,en,1.5609756097560976
20,en,1.4939759036144578
21,en,1.5769230769230769
22,en,1.3617021276595744
23,en,1.4382022471910112
24,en,1.6
25,en,1.5421686746987953
26,en,1.620253164556962
27,en,1.3763440860215055
28,en,1.4065934065934067
29,en,2.0
30,en,1.4545454545454546
31,en,1.7014925373134329
32,en,1.4222222222222223
33,en,1.7083333333333333
34,en,1.855072463768116
35,en,1.9069767441860466
36,en,1.6
37,en,1.2673267326732673
38,en,1.3061224489795917
39,en,1.4382022471910112
40,en,1.5058823529411764
41,en,1.5802469135802468
42,en,1.620253164556962
43,en,1.641025641025641
44,en,1.3617021276595744
45,en,1.5609756097560976
46,en,1.5421686746987953
47,en,1.8028169014084507
48,en,1.5802469135802468
49,en,1.5238095238095237
0,hi,2.4150943396226414
1,hi,1.7534246575342465
2,hi,2.2857142857142856
3,hi,2.169491525423729
4,hi,2.245614035087719
5,hi,2.098360655737705
6,hi,2.0689655172413794
7,hi,1.9692307692307693
8,hi,1.5802469135802468
9,hi,1.9692307692307693
10,hi,2.4615384615384617
11,hi,2.169491525423729
12,hi,2.4615384615384617
13,hi,1.9104477611940298
14,hi,2.206896551724138
15,hi,2.0317460317460316
16,hi,2.4150943396226414
17,hi,1.9104477611940298
18,hi,2.2857142857142856
19,hi,2.245614035087719
20,hi,2.1333333333333333
21,hi,2.169491525423729
22,hi,1.9393939393939394
23,hi,1.7066666666666668
24,hi,2.206896551724138
25,hi,2.169491525423729
26,hi,2.327272727272727
27,hi,2.327272727272727
28,hi,2.3703703703703702
29,hi,2.6122448979591835
30,hi,2.169491525423729
31,hi,2.245614035087719
32,hi,2.245614035087719
33,hi,2.245614035087719
34,hi,2.3823529411764706
35,hi,1.9104477611940298
36,hi,2.1333333333333333
37,hi,2.169491525423729
38,hi,2.2857142857142856
39,hi,2.2857142857142856
40,hi,2.1333333333333333
41,hi,1.8028169014084507
42,hi,2.064516129032258
43,hi,1.8028169014084507
44,hi,2.4615384615384617
45,hi,1.9393939393939394
46,hi,2.1333333333333333
47,hi,2.4150943396226414
48,hi,1.9393939393939394
49,hi,2.169491525423729
0,gu,2.782608695652174
1,gu,2.3703703703703702
2,gu,2.6666666666666665
3,gu,2.169491525423729
4,gu,3.0476190476190474
5,gu,2.5098039215686274
6,gu,2.5098039215686274
7,gu,2.3703703703703702
8,gu,2.206896551724138
9,gu,2.4150943396226414
10,gu,2.8444444444444446
11,gu,2.0
12,gu,2.782608695652174
13,gu,2.245614035087719
14,gu,2.3703703703703702
15,gu,2.3703703703703702
16,gu,2.245614035087719
17,gu,2.0317460317460316
18,gu,2.5098039215686274
19,gu,2.5098039215686274
20,gu,2.8444444444444446
21,gu,2.723404255319149
22,gu,2.56
23,gu,2.4150943396226414
24,gu,2.245614035087719
25,gu,2.4615384615384617
26,gu,2.4615384615384617
27,gu,2.909090909090909
28,gu,2.327272727272727
29,gu,2.3703703703703702
30,gu,2.6122448979591835
31,gu,2.4150943396226414
32,gu,2.3703703703703702
33,gu,2.5098039215686274
34,gu,2.6666666666666665
35,gu,2.6666666666666665
36,gu,2.8444444444444446
37,gu,2.2857142857142856
38,gu,2.3703703703703702
39,gu,2.245614035087719
40,gu,2.723404255319149
41,gu,2.206896551724138
42,gu,2.4615384615384617
43,gu,2.245614035087719
44,gu,2.4615384615384617
45,gu,2.4150943396226414
46,gu,2.2857142857142856
47,gu,2.3703703703703702
48,gu,2.56
49,gu,2.4150943396226414
