id,lang,accept_length,accept_rate,completion_tokens
0,en,1.4242424242424243,0.13636363636363635,94
1,en,1.3617021276595744,0.11702127659574468,128
2,en,1.391304347826087,0.12681159420289856,128
3,en,1.3333333333333333,0.1076388888888889,128
4,en,1.3061224489795917,0.09863945578231292,128
5,en,1.21,0.06666666666666667,121
6,en,1.1743119266055047,0.0581039755351682,128
7,en,1.3061224489795917,0.09863945578231292,128
8,en,1.1956521739130435,0.06159420289855073,110
9,en,1.3333333333333333,0.1076388888888889,128
10,en,1.2549019607843137,0.08169934640522876,128
11,en,1.3061224489795917,0.09863945578231292,128
12,en,1.2190476190476192,0.06984126984126984,128
13,en,1.3617021276595744,0.11702127659574468,128
14,en,1.292929292929293,0.09427609427609428,128
15,en,1.28,0.09,128
16,en,1.3195876288659794,0.10309278350515463,128
17,en,1.3333333333333333,0.1076388888888889,128
18,en,1.292929292929293,0.09427609427609428,128
19,en,1.3061224489795917,0.09863945578231292,128
20,en,1.1743119266055047,0.05504587155963303,128
21,en,1.3763440860215055,0.12186379928315412,128
22,en,1.28,0.09,128
23,en,1.2190476190476192,0.06984126984126984,128
24,en,1.4222222222222223,0.13703703703703704,128
25,en,1.3015873015873016,0.10582010582010581,82
26,en,1.2019230769230769,0.0641025641025641,125
27,en,1.1851851851851851,0.05864197530864197,128
28,en,1.103448275862069,0.034482758620689655,128
29,en,1.3653846153846154,0.11538461538461539,71
30,en,1.1636363636363636,0.051515151515151514,128
31,en,1.391304347826087,0.12681159420289856,128
32,en,1.2179487179487178,0.06837606837606838,95
33,en,1.4545454545454546,0.14772727272727273,128
34,en,1.4545454545454546,0.12121212121212122,16
35,en,1.3763440860215055,0.12186379928315412,128
36,en,1.3061224489795917,0.09863945578231292,128
37,en,1.1962616822429906,0.06230529595015576,128
38,en,1.2075471698113207,0.0660377358490566,128
39,en,1.2586206896551724,0.09195402298850575,73
40,en,1.2673267326732673,0.0858085808580858,128
41,en,1.2190476190476192,0.07301587301587302,128
42,en,1.3195876288659794,0.10652920962199312,128
43,en,1.28,0.09333333333333334,128
44,en,1.1962616822429906,0.06542056074766354,128
45,en,1.28,0.09,128
46,en,1.3473684210526315,0.11578947368421053,128
47,en,1.3150684931506849,0.1095890410958904,96
48,en,1.3195876288659794,0.10652920962199312,128
49,en,1.2549019607843137,0.08169934640522876,128
0,hi,1.7297297297297298,0.23873873873873874,128
1,hi,1.4222222222222223,0.13703703703703704,128
