id,lang,accept_length
0,en,1.3617021276595744
1,en,1.4222222222222223
2,en,1.4545454545454546
3,en,1.3195876288659794
4,en,1.28
5,en,1.4883720930232558
6,en,1.4883720930232558
7,en,1.5714285714285714
8,en,1.3333333333333333
9,en,1.3763440860215055
10,en,1.5058823529411764
11,en,1.6818181818181819
12,en,1.3763440860215055
13,en,1.5802469135802468
14,en,1.5945945945945945
15,en,1.588235294117647
16,en,1.391304347826087
17,en,1.8387096774193548
18,en,1.28
19,en,1.3508771929824561
20,en,1.4222222222222223
21,en,1.0158730158730158
22,en,1.8333333333333333
23,en,1.620253164556962
24,en,1.6904761904761905
25,en,1.641025641025641
26,en,1.641025641025641
27,en,1.3473684210526315
28,en,1.5238095238095237
29,en,1.3333333333333333
30,en,1.292929292929293
31,en,1.4883720930232558
32,en,1.3333333333333333
33,en,1.2580645161290323
34,en,1.6
35,en,1.4545454545454546
36,en,1.5142857142857142
37,en,1.2549019607843137
38,en,1.5517241379310345
39,en,1.3333333333333333
40,en,1.471264367816092
41,en,2.0
42,en,1.620253164556962
43,en,1.4883720930232558
44,en,1.471264367816092
45,en,1.3333333333333333
46,en,1.2190476190476192
47,en,1.75
48,en,1.471264367816092
49,en,1.4545454545454546
0,hi,2.5098039215686274
1,hi,1.8823529411764706
2,hi,1.8028169014084507
3,hi,1.855072463768116
4,hi,1.8823529411764706
5,hi,2.5
6,hi,1.8285714285714285
7,hi,1.9104477611940298
8,hi,1.7297297297297298
9,hi,1.2549019607843137
10,hi,1.855072463768116
11,hi,1.9393939393939394
12,hi,2.5098039215686274
13,hi,1.855072463768116
14,hi,2.245614035087719
15,hi,1.8285714285714285
16,hi,2.098360655737705
17,hi,1.7297297297297298
18,hi,1.7297297297297298
19,hi,1.4883720930232558
20,hi,1.7066666666666668
21,hi,1.8285714285714285
22,hi,1.3333333333333333
23,hi,2.0317460317460316
24,hi,1.7833333333333334
25,hi,2.064516129032258
26,hi,1.8823529411764706
27,hi,1.9104477611940298
28,hi,1.6623376623376624
29,hi,1.7066666666666668
30,hi,2.1333333333333333
31,hi,2.064516129032258
32,hi,1.7297297297297298
33,hi,1.9393939393939394
34,hi,2.1333333333333333
35,hi,1.8028169014084507
36,hi,1.8823529411764706
37,hi,2.064516129032258
38,hi,1.6
39,hi,1.855072463768116
40,hi,2.311111111111111
41,hi,1.6842105263157894
42,hi,1.9692307692307693
43,hi,1.8285714285714285
44,hi,1.855072463768116
45,hi,2.1666666666666665
46,hi,2.4615384615384617
47,hi,1.8823529411764706
48,hi,2.1333333333333333
49,hi,1.9104477611940298
0,gu,2.169491525423729
1,gu,2.6122448979591835
2,gu,2.2857142857142856
3,gu,2.3703703703703702
4,gu,2.327272727272727
5,gu,2.2857142857142856
6,gu,2.169491525423729
7,gu,2.5098039215686274
8,gu,2.206896551724138
9,gu,2.327272727272727
10,gu,2.4150943396226414
11,gu,2.782608695652174
12,gu,2.4615384615384617
13,gu,2.5098039215686274
14,gu,2.1333333333333333
15,gu,2.064516129032258
16,gu,2.3703703703703702
17,gu,2.56
18,gu,2.327272727272727
19,gu,2.6666666666666665
20,gu,2.169491525423729
21,gu,2.5098039215686274
22,gu,2.56
23,gu,2.169491525423729
24,gu,2.5098039215686274
25,gu,2.064516129032258
26,gu,2.56
27,gu,2.3703703703703702
28,gu,2.2857142857142856
29,gu,2.56
30,gu,1.855072463768116
31,gu,2.2857142857142856
32,gu,2.327272727272727
33,gu,2.4150943396226414
34,gu,2.4150943396226414
35,gu,2.0317460317460316
36,gu,2.206896551724138
37,gu,1.8285714285714285
38,gu,2.4150943396226414
39,gu,2.1333333333333333
40,gu,2.5098039215686274
41,gu,2.4615384615384617
42,gu,2.206896551724138
43,gu,2.2857142857142856
44,gu,2.206896551724138
45,gu,2.206896551724138
46,gu,2.3703703703703702
47,gu,2.169491525423729
48,gu,2.6666666666666665
49,gu,1.3076923076923077
