id,lang,accept_length
0,en,1.5421686746987953
1,en,2.8823529411764706
2,en,2.0517241379310347
3,en,2.064516129032258
4,en,1.5609756097560976
5,en,1.6842105263157894
6,en,2.064516129032258
7,en,1.5802469135802468
8,en,1.6181818181818182
9,en,2.0317460317460316
10,en,1.4883720930232558
11,en,1.471264367816092
12,en,1.5058823529411764
13,en,1.641025641025641
14,en,1.7534246575342465
15,en,1.641025641025641
16,en,1.4883720930232558
17,en,1.6623376623376624
18,en,1.5208333333333333
19,en,1.7534246575342465
20,en,1.6533333333333333
21,en,1.8636363636363635
22,en,2.0
23,en,1.6842105263157894
24,en,1.391304347826087
25,en,1.5238095238095237
26,en,1.471264367816092
27,en,2.064516129032258
28,en,1.6623376623376624
29,en,3.5
30,en,2.4150943396226414
31,en,1.8387096774193548
32,en,1.7534246575342465
33,en,1.4819277108433735
34,en,2.1333333333333333
35,en,1.8222222222222222
36,en,2.5098039215686274
37,en,1.8028169014084507
38,en,2.098360655737705
39,en,2.169491525423729
40,en,2.064516129032258
41,en,1.9104477611940298
42,en,2.169491525423729
43,en,1.8823529411764706
44,en,2.4150943396226414
45,en,1.6623376623376624
46,en,1.8028169014084507
47,en,2.5098039215686274
48,en,1.5609756097560976
49,en,2.206896551724138
0,hi,1.1636363636363636
1,hi,1.1327433628318584
2,hi,1.1743119266055047
3,hi,1.1531531531531531
4,hi,1.1428571428571428
5,hi,1.1130434782608696
6,hi,1.2
7,hi,1.1428571428571428
8,hi,1.1636363636363636
9,hi,1.1428571428571428
10,hi,1.1851851851851851
11,hi,1.1531531531531531
12,hi,1.1428571428571428
13,hi,1.103448275862069
14,hi,1.1636363636363636
15,hi,1.1851851851851851
16,hi,1.1743119266055047
17,hi,1.1743119266055047
18,hi,1.0940170940170941
19,hi,1.1228070175438596
20,hi,1.1531531531531531
21,hi,1.1851851851851851
22,hi,1.3473684210526315
23,hi,1.1130434782608696
24,hi,1.1636363636363636
25,hi,1.1851851851851851
26,hi,1.1962616822429906
27,hi,1.2075471698113207
28,hi,1.1851851851851851
29,hi,1.0940170940170941
30,hi,1.1531531531531531
31,hi,1.1636363636363636
32,hi,1.1636363636363636
33,hi,1.1327433628318584
34,hi,1.208955223880597
35,hi,1.1531531531531531
36,hi,1.1228070175438596
37,hi,1.2307692307692308
38,hi,1.1531531531531531
39,hi,1.2075471698113207
40,hi,1.1962616822429906
41,hi,1.292929292929293
42,hi,1.1743119266055047
43,hi,1.1851851851851851
44,hi,1.1962616822429906
45,hi,1.1743119266055047
46,hi,1.1743119266055047
47,hi,1.2075471698113207
48,hi,1.0756302521008403
49,hi,1.1962616822429906
0,gu,1.0078740157480315
1,gu,1.024
2,gu,1.0158730158730158
3,gu,1.0756302521008403
4,gu,1.0158730158730158
5,gu,1.024
6,gu,1.0078740157480315
7,gu,1.0756302521008403
8,gu,1.0491803278688525
9,gu,1.024
10,gu,1.0078740157480315
11,gu,1.032258064516129
12,gu,1.0078740157480315
13,gu,1.024
14,gu,1.024
15,gu,1.0406504065040652
16,gu,1.0491803278688525
17,gu,1.0756302521008403
18,gu,1.0078740157480315
19,gu,1.0078740157480315
20,gu,1.024
21,gu,1.024
22,gu,1.0158730158730158
23,gu,1.0666666666666667
24,gu,1.0406504065040652
25,gu,1.032258064516129
26,gu,1.024
27,gu,1.0158730158730158
28,gu,1.0158730158730158
29,gu,1.0158730158730158
30,gu,1.0158730158730158
31,gu,1.0158730158730158
32,gu,1.0158730158730158
33,gu,1.0078740157480315
34,gu,1.024
35,gu,1.0158730158730158
36,gu,1.0158730158730158
37,gu,1.0491803278688525
38,gu,1.024
39,gu,1.024
40,gu,1.0158730158730158
41,gu,1.1531531531531531
42,gu,1.032258064516129
43,gu,1.1130434782608696
44,gu,1.0158730158730158
45,gu,1.024
46,gu,1.0078740157480315
47,gu,1.0158730158730158
48,gu,1.0078740157480315
49,gu,1.024
