id,lang,accept_length,tag
0,en,1.323943661971831,v3_fa3
1,en,1.3195876288659794,v3_fa3
2,en,1.3763440860215055,v3_fa3
3,en,1.3617021276595744,v3_fa3
4,en,1.1851851851851851,v3_fa3
5,en,1.2474226804123711,v3_fa3
6,en,1.1743119266055047,v3_fa3
7,en,1.2549019607843137,v3_fa3
8,en,1.3414634146341464,v3_fa3
9,en,1.2307692307692308,v3_fa3
10,en,1.2190476190476192,v3_fa3
11,en,1.28,v3_fa3
12,en,1.2549019607843137,v3_fa3
13,en,1.391304347826087,v3_fa3
14,en,1.28,v3_fa3
15,en,1.2549019607843137,v3_fa3
16,en,1.4065934065934067,v3_fa3
17,en,1.3195876288659794,v3_fa3
18,en,1.2427184466019416,v3_fa3
19,en,1.3195876288659794,v3_fa3
20,en,1.1327433628318584,v3_fa3
21,en,1.2673267326732673,v3_fa3
22,en,1.2427184466019416,v3_fa3
23,en,1.1851851851851851,v3_fa3
24,en,1.3333333333333333,v3_fa3
25,en,1.3442622950819672,v3_fa3
26,en,1.2254901960784315,v3_fa3
27,en,1.1962616822429906,v3_fa3
28,en,1.0847457627118644,v3_fa3
29,en,1.2033898305084745,v3_fa3
30,en,1.2307692307692308,v3_fa3
31,en,1.28,v3_fa3
32,en,1.1875,v3_fa3
33,en,1.3061224489795917,v3_fa3
34,en,1.7777777777777777,v3_fa3
35,en,1.3473684210526315,v3_fa3
36,en,1.28,v3_fa3
37,en,1.2075471698113207,v3_fa3
38,en,1.1962616822429906,v3_fa3
39,en,1.3035714285714286,v3_fa3
40,en,1.2549019607843137,v3_fa3
41,en,1.1851851851851851,v3_fa3
42,en,1.2307692307692308,v3_fa3
43,en,1.2673267326732673,v3_fa3
44,en,1.2307692307692308,v3_fa3
45,en,1.292929292929293,v3_fa3
46,en,1.2673267326732673,v3_fa3
47,en,1.3150684931506849,v3_fa3
48,en,1.2673267326732673,v3_fa3
49,en,1.2427184466019416,v3_fa3
0,hi,1.6623376623376624,v3_fa3
1,hi,1.5058823529411764,v3_fa3
2,hi,1.6,v3_fa3
3,hi,1.6,v3_fa3
4,hi,1.7297297297297298,v3_fa3
5,hi,1.5421686746987953,v3_fa3
6,hi,1.5421686746987953,v3_fa3
7,hi,1.6,v3_fa3
8,hi,1.3617021276595744,v3_fa3
9,hi,1.5802469135802468,v3_fa3
